CODREV3,rnombre
2893,"FABRICA DE CHAPAS, CANDADOS Y PASADORES"
2899,FABRICA DE ALAMBRE DE PUAS
2911,FAB. DE MOTORES DE COMBUSTION INTERNA EXCEPTO DE VEHICULOS A
2912,FABRICA DE BOMBAS DE AIRE Y DE VACIO
2913,FABRICA DE ACOPLAMIENTO DE ARBOLES
2914,FABRICA DE QUEMADORES DE COMBUSTIBLES
2915,FABRICA DE ASCENSORES
2919,FABRICA DE BASCULAS Y BALANZAS (DIFERENTE  A LAS DE PRECISIO
2921,FABRICA DE MAQ. ACLARADORAS
2922,FABRICA DE BANCOS DE TREFILAR
2923,FABRICA DE CALDEROS DE COLADA
2924,FABRICA DE ALISADORAS
2925,FABRICA DE ACEPILLADORAS
2926,FABRICA DE EQUIPO AUXILIAR DE MAQUINAS TEXTILES
2927,FABRICA DE AMETRALLADORAS LIGERAS
2929,FABRICA DE CAJAS DE MOLDEAR
2930,FABRICA DE ABRELATAS
3000,FABRICA DE CAJAS REGISTRADORAS
3110,FABRICACION Y REPARACION DE CARGADORES DE BATERIAS
3120,FABRICA DE CONMUTADORES DE APARATOS DE CONTROL DE ENERGIA EL
3130,FABRICA DE HILOS Y CABLES AISLADOS
3140,FABRICA DE ACUMULADORES ELECTRICOS
3150,FABRICA DE ARCOS PARA LAMPARAS Y EQUIPO DE ILUMINACION
3190,FABRICA DE ARTEFACTOS ELECTRICOS DE SE¥ALIZACION: PARA CONTR
3210,FABRICA DE CELULAS FOTOVOLTAICAS
3220,FABRICA DE APARATOS RADIOTELEGRAFICOS DE TIPO FACSIMIL
3230,FABRICA DE ALTAVOCES
3311,FABRICA DE ELECTROCARDIOGRAFOS
3312,FABRICA DE APARATOS DE RADAR Y DE CONTROL REMOTO
3313,FABRICA DE INSTRUMENTOS PARA MEDIR Y REGULAR LA PRESION DE P
3320,FABRICA DE AMPLIADORES Y REDUCTORES DE IMAGEN
3330,FABRICA DE APARATOS PARA MEDIR LA HORA DEL DIA
3410,FABRICA DE AUTOBUSES
3420,FABRICA DE CARROCERIAS
3430,FABRICA DE AMORTIGUADORES
3511,FABRICA DE AERODESLIZADORES
3512,FABRICA DE BARCOS PARA PESCA DEPORTIVA
3520,FABRICA DE AMORTIGUADORES (EXCEPTO MUELLES) PARA LOCOMOTORAS
3530,FABRICA DE AERONAVES DE ALA GIRATORIA
3591,FABRICA DE MOTOCICLETAS
3592,FABRICA DE BICICLETAS CON SIDECAR
3599,FABRICA DE CALESAS
3610,FABRICA DE COLCHONES CON MUELLES
3691,FABRICA DE ANODOS DE GALVANOPLASTIA
3692,FABRICA DE ACORDEONES
3693,FABRICA DE ARTICULOS Y EQUIPO PARA ALPINISMO
3694,FABRICA DE EQUIPO AUTOMATICO PARA JUEGO DE BOLOS
3699,FABRICA DE TRAPEADORES Y PLUMEROS
3710,PROCESAMIENTO DE ARTICULOS DE METAL USADOS O NO
3720,PROCESAMIENTO DE DESPERDICIOS Y DESECHOS NO METALICOS
4010,CAPTACION DE ENERGIA ELECTRICA
4020,DISTRIBUCION DE GAS MEDIANTE TUBERIAS
4030,PROD.CAPTAC.Y DISTRIB.VAPOR Y AGUA CALIENTE
4100,EMPRESAS DE SERVICIO DE AGUA
4510,CONSTRUCCION DE GALERIAS
4520,CONSTRUCTORAS DE OBRAS NUEVAS
4530,"AISLAMIENTO HIDRICO, TERMICO O SONORO"
4540,ACABADOS DE CARPINTERIA - EBANISTERIA
4550,ALQUILER DE CAMIONES GRUA CON OPERARIOS
5010,VENTA DE VEHICULOS AUTOMOTORES DE PASAJEROS
5020,SERVICIO DE LAVADO DE VEHICULOS
5030,VENTA DE REPUESTOS PARA VEHICULOS
5040,VENTA DE MOTOCICLETAS
5050,VENTA DE COMBUSTIBLES Y GRIFOS
5110,COMISIONISTA DE PRODUCTOS
5121,VENTA DE ANIMALES VIVOS
5122,DISTRIBUIDORA DE ACEITES Y GRASAS COMESTIBLES
5131,VENTA AL POR MAYOR DE ACCESORIOS PARA PRENDAS DE VESTIR
5139,VENTA AL POR MAYOR DE MAQUINAS DE COSER Y TEJER
5141,DISTRIBUIDORA DE COMBUSTIBLES GASEOSOS
5142,DISTRIBUIDORA DE METALES EN FORMA PRIMARIA
5143,DISTRIBUIDORA DE BARNICES Y LACAS
5149,VENTA DE ABONOS Y FERTILIZANTES
5150,VENTA DE EQUIPO DE INGENIERIA CIVIL
5190,VENTA AL POR MAYOR DE PRODUCTOS ESPECIALIZADOS
5211,BODEGAS
5219,"VENTA DE ROPA, ELECTRODOMESTICOS, ART. PARA EL HOGAR, ETC. -"
5220,LICORERIAS
5231,FARMACIAS Y BOTICAS
5232,ZAPATERIAS
5233,VENTA DE ARTEFACTOS DE ILUMINACION Y BRONCE
5234,FERRETERIAS
5239,VENTA DE ANIMALES CASEROS
5240,VENTA DE ARTICULOS USADOS
5251,VENTA DE PRODUCTOS DE TODO TIPO POR CATALOGO
5252,ABARROTES ( EN PUESTO DE MERCADO )
5259,VENTA DE PRODUCTOS REALIZADO POR MAQUINAS EXPENDEDORAS
5260,REPARACION DE EFECTOS PERSONALES Y ENSERES DOMESTICOS
5270,VENTA AL POR MENOR NO ESPECIFICADO
5510,REFUGIO
5520,SERVICIO DE COMEDOR EN TRENES
6010,TRANSPORTES POR VIA FERREA
6021,SERVICIO DE AUTOBUSES DE EXCURSION
6022,ALQUILER DE AUTOMOVILES CON CONDUCTOR
6023,TRANSPORTE DE CARGA EN VEHICULOS NO MOTORIZADOS
6030,FUNCIONAMIENTO DE ESTACIONES DE BOMBEO
6110,TRANSPORTE DE CABOTAJE DE PASAJEROS Y CARGA
6120,TRANSPORTE DE PASAJEROS Y CARGA POR RIOS
6210,TRANSPORTE AEREO DE PASAJEROS Y CARGAS
6220,TRANSPORTE ESPACIAL
6301,ACTIVIDADES DE ESTIBAS Y DESESTIBAS
6302,ALMACENES DE AUTOMOVILES
6303,ACTIVIDADES DE CONTROL DE TRAFICO
6304,"AGENCIAS DE VIAJE, AGENCIAS DE TURISMO"
6309,AGRUPACION Y FRACCIONAMIENTO DE LA CARGA
6411,ALQUILER DE BUZONES POSTALES
6412,SERVICIOS POSTALES INTERNACIONALES
6420,COMUNICACIONES TELEFONICAS
6511,BANCOS CENTRALES
6519,BANCOS COMERCIALES
6591,"ARRENDAMIENTO QUE CUBRE LA VIDA UTIL DEL BIEN, EL ARRENDATAR"
6592,CASAS DE PRESTAMO
6599,ACTIVIDADES DE LAS SOCIEDADES DE CARTERAS
6601,SEGURO DE VIDA Y OTROS
6602,ACTIVIDAD DE CAPTACION E INVERSION DE FONDOS
6603,SEGURO CONTRA ACCIDENTES
6711,ACTIVIDADES DE BOLSA DE VALORES
6712,SERVICIO DE CORREDORES DE BOLSA Y ACTIVIDADES CONEXAS
6719,ACTIVIDADES AUXILIARES DE INTERMEDIACION FINANCIERA N.C.P.
6720,ACTV. AUX. RELACIONADAS CON LA FINANCIACION DE PLANES DE SEG
7010,"COMPRA VENTA, ALQUILER DE BIENES INMUEBLES PROPIOS O ALQUILA"
7020,ALQUILER DE INMUEBLES
7111,"ALQUILER DE FERROCARRILES, VEHICULOS Y/O CASAS RODANTES"
7112,ALQUILER DE BUQUES Y EMBARCACIONES COMERCIALES SIN TRIPULACI
7113,ALQUILER DE AEROPLANOS SIN TRIPULACION
7121,ALQUILER DE MAQUINARIA Y EQUIPO AGROPECUARIO
7122,ALQUILER DE MAQUINARIA Y EQUIPO DE CONSTRUCCION E ING. CIVIL
7123,ALQ. DE COMPUTADORAS
7129,ALQ. DE MAQUINARIA PARA USO PROFESIONAL Y CIENTIFICO
7130,ALQUILER DE APARATOS ELECTRICOS Y DE USO DOMESTICO
7210,CONSULTORES EN CONFIGURACION DE EQ. DE INFORMATICA
7220,CONSULTORES EN SISTEMAS DE INFORMATICA
7230,ADMINISTRACION Y MANEJO PERMANENTE DE EQUIPO DE PROCESAMIENT
7240,ACTIVIDADES DE PREPARACION DE BASES DE DATOS
7250,SERV. DE MANTENIM.Y REP. DE EQUIPO PERIFERICO CONEXO
7290,ACTIVIDADES DE INFORMATICA N.C.P.
7310,"INVESTIGACION EN CIENCIAS NATURALES:EJM. MATEMATICAS, MEDICI"
7320,"INVESTIGACION EN CIENCIAS SOCIALES Y HUMANID. EJM: ECONOMIA,"
7411,ACTIVIDADES DE ARBITRADORES
7412,ESTUDIOS CONTABLES
7413,ACTIVIDADES SOBRE LA ACEPTACION Y GRADO DE DIFUSION DE PRODU
7414,ACTIVIDADES DE ARBITRAJE Y CONCILIACION ENTRE LA GERENCIA Y
7421,"ACTIVIDADES DE ARQUITECTURA, INGENIERIA Y AGRIMENSURA"
7422,ANALISIS DE DEFECTOS DE PRODUCTOS
7430,SERVICIOS DE PUBLICIDAD
7491,AGENCIAS DE EMPLEO
